Sampling_Date,Ponds,Conductivity,Temperature,pH,Month_Name,Year,Month,Season
1977-07-26,Central_Arm,360.0,16.0,7.9,July,1977,7,Summer
1977-07-26,Central_Arm,300.0,16.5,8.9,July,1977,7,Summer
1977-07-26,Eastern_Arm,380.0,18.0,8.4,July,1977,7,Summer
1977-07-26,Eastern_Arm,390.0,18.5,8.2,July,1977,7,Summer
1977-07-26,Western_Arm_Spring_Inflow,430.0,15.0,6.9,July,1977,7,Summer
1977-08-02,Central_Arm,340.0,18.5,9.2,August,1977,8,Summer
1977-08-02,Central_Arm,320.0,19.0,9.6,August,1977,8,Summer
1977-08-02,Eastern_Arm,330.0,17.0,9.3,August,1977,8,Summer
1977-08-02,Eastern_Arm,380.0,18.5,9.1,August,1977,8,Summer
1977-08-02,Western_Arm_Spring_Inflow,440.0,16.5,7.7,August,1977,8,Summer
1977-08-14,Central_Arm,,16.5,7.3,August,1977,8,Summer
1977-08-14,Central_Arm,,,9.3,August,1977,8,Summer
1977-08-14,Eastern_Arm,,18.0,9.8,August,1977,8,Summer
1977-08-14,Eastern_Arm,,18.0,8.6,August,1977,8,Summer
1977-08-14,Western_Arm_Spring_Inflow,,18.0,7.5,August,1977,8,Summer
1977-09-05,Central_Arm,460.0,20.5,7.8,September,1977,9,Autumn
1977-09-05,Central_Arm,310.0,20.5,9.2,September,1977,9,Autumn
1977-09-05,Eastern_Arm,330.0,17.5,8.7,September,1977,9,Autumn
1977-09-05,Eastern_Arm,450.0,14.0,8.1,September,1977,9,Autumn
1977-09-05,Western_Arm_Spring_Inflow,550.0,14.0,7.5,September,1977,9,Autumn
1977-10-05,Central_Arm,440.0,10.5,7.8,October,1977,10,Autumn
1977-10-05,Central_Arm,340.0,13.0,9.1,October,1977,10,Autumn
1977-10-05,Eastern_Arm,375.0,12.0,8.7,October,1977,10,Autumn
1977-10-05,Eastern_Arm,460.0,13.5,8.3,October,1977,10,Autumn
1977-10-05,Western_Arm_Spring_Inflow,570.0,10.5,7.7,October,1977,10,Autumn
1977-10-20,Central_Arm,480.0,12.8,7.7,October,1977,10,Autumn
1977-10-20,Central_Arm,350.0,12.0,7.4,October,1977,10,Autumn
1977-10-20,Eastern_Arm,410.0,13.5,7.8,October,1977,10,Autumn
1977-10-20,Eastern_Arm,480.0,14.0,7.6,October,1977,10,Autumn
1977-10-20,Western_Arm_Spring_Inflow,480.0,11.5,7.7,October,1977,10,Autumn
1977-11-15,Central_Arm,400.0,7.5,8.2,November,1977,11,Autumn
1977-11-15,Central_Arm,400.0,7.0,8.3,November,1977,11,Autumn
1977-11-15,Eastern_Arm,410.0,8.0,8.0,November,1977,11,Autumn
1977-11-15,Eastern_Arm,410.0,9.0,7.8,November,1977,11,Autumn
1977-11-15,Western_Arm_Spring_Inflow,475.0,7.5,8.0,November,1977,11,Autumn
1977-12-12,Central_Arm,490.0,8.5,8.1,December,1977,12,Winter
1977-12-12,Central_Arm,450.0,8.5,8.1,December,1977,12,Winter
1977-12-12,Eastern_Arm,440.0,8.5,8.1,December,1977,12,Winter
1977-12-12,Eastern_Arm,450.0,8.5,7.8,December,1977,12,Winter
1977-12-12,Western_Arm_Spring_Inflow,500.0,8.5,7.8,December,1977,12,Winter
1978-01-06,Central_Arm,,7.0,8.0,January,1978,1,Winter
1978-01-06,Central_Arm,460.0,7.0,8.0,January,1978,1,Winter
1978-01-06,Eastern_Arm,450.0,7.0,8.0,January,1978,1,Winter
1978-01-06,Eastern_Arm,460.0,7.0,7.8,January,1978,1,Winter
1978-01-06,Western_Arm_Spring_Inflow,500.0,7.0,7.8,January,1978,1,Winter
1978-02-15,Central_Arm,520.0,1.0,8.1,February,1978,2,Winter
1978-02-15,Central_Arm,460.0,3.0,8.2,February,1978,2,Winter
1978-02-15,Eastern_Arm,440.0,0.0,8.1,February,1978,2,Winter
1978-02-15,Eastern_Arm,500.0,3.0,7.8,February,1978,2,Winter
1978-02-15,Western_Arm_Spring_Inflow,450.0,1.0,7.9,February,1978,2,Winter
1978-02-28,Central_Arm,550.0,8.0,8.6,February,1978,2,Winter
1978-02-28,Central_Arm,460.0,7.0,8.3,February,1978,2,Winter
1978-02-28,Eastern_Arm,440.0,7.5,8.0,February,1978,2,Winter
1978-02-28,Eastern_Arm,435.0,9.0,8.1,February,1978,2,Winter
1978-02-28,Western_Arm_Spring_Inflow,540.0,8.0,8.2,February,1978,2,Winter
1978-04-04,Central_Arm,540.0,11.0,8.2,April,1978,4,Spring
1978-04-04,Central_Arm,460.0,10.5,9.3,April,1978,4,Spring
1978-04-04,Eastern_Arm,450.0,10.5,8.4,April,1978,4,Spring
1978-04-04,Eastern_Arm,470.0,11.0,9.0,April,1978,4,Spring
1978-04-04,Western_Arm_Spring_Inflow,525.0,11.0,8.0,April,1978,4,Spring
1978-04-17,Central_Arm,480.0,10.5,8.0,April,1978,4,Spring
1978-04-19,Central_Arm,520.0,10.0,8.1,April,1978,4,Spring
1978-04-19,Eastern_Arm,,10.5,8.1,April,1978,4,Spring
1978-04-19,Eastern_Arm,500.0,10.0,8.2,April,1978,4,Spring
1978-04-19,Western_Arm_Spring_Inflow,500.0,10.0,8.0,April,1978,4,Spring
1978-05-10,Central_Arm,,15.0,8.1,May,1978,5,Spring
1978-05-10,Central_Arm,,15.5,8.3,May,1978,5,Spring
1978-05-10,Eastern_Arm,,14.5,8.4,May,1978,5,Spring
1978-05-10,Eastern_Arm,,15.0,8.3,May,1978,5,Spring
